AREA_ID,CITY_NAME,STATE_NAME,AREA_DENSITY
1.0,Brooklyn,NY,High
2.0,Jamaica,NY,Medium
3.0,New York City,NY,High
4.0,CITY_NAME4,STATE_NAME4,AREA_DENSITY4
5.0,CITY_NAME5,STATE_NAME5,AREA_DENSITY5
6.0,CITY_NAME6,STATE_NAME6,AREA_DENSITY6
7.0,CITY_NAME7,STATE_NAME7,AREA_DENSITY7
8.0,CITY_NAME8,STATE_NAME8,AREA_DENSITY8
9.0,CITY_NAME9,STATE_NAME9,AREA_DENSITY9
10.0,CITY_NAME10,STATE_NAME10,AREA_DENSITY10
11.0,CITY_NAME11,STATE_NAME11,AREA_DENSITY11
12.0,CITY_NAME12,STATE_NAME12,AREA_DENSITY12
13.0,CITY_NAME13,STATE_NAME13,AREA_DENSITY13
14.0,CITY_NAME14,STATE_NAME14,AREA_DENSITY14
15.0,CITY_NAME15,STATE_NAME15,AREA_DENSITY15
16.0,CITY_NAME16,STATE_NAME16,AREA_DENSITY16
17.0,CITY_NAME17,STATE_NAME17,AREA_DENSITY17
18.0,CITY_NAME18,STATE_NAME18,AREA_DENSITY18
19.0,CITY_NAME19,STATE_NAME19,AREA_DENSITY19
20.0,CITY_NAME20,STATE_NAME20,AREA_DENSITY20
21.0,CITY_NAME21,STATE_NAME21,AREA_DENSITY21
22.0,CITY_NAME22,STATE_NAME22,AREA_DENSITY22
23.0,CITY_NAME23,STATE_NAME23,AREA_DENSITY23
24.0,CITY_NAME24,STATE_NAME24,AREA_DENSITY24
25.0,CITY_NAME25,STATE_NAME25,AREA_DENSITY25
26.0,CITY_NAME26,STATE_NAME26,AREA_DENSITY26
27.0,CITY_NAME27,STATE_NAME27,AREA_DENSITY27
28.0,CITY_NAME28,STATE_NAME28,AREA_DENSITY28
29.0,CITY_NAME29,STATE_NAME29,AREA_DENSITY29
30.0,CITY_NAME30,STATE_NAME30,AREA_DENSITY30
31.0,CITY_NAME31,STATE_NAME31,AREA_DENSITY31
32.0,CITY_NAME32,STATE_NAME32,AREA_DENSITY32
33.0,CITY_NAME33,STATE_NAME33,AREA_DENSITY33
34.0,CITY_NAME34,STATE_NAME34,AREA_DENSITY34
35.0,CITY_NAME35,STATE_NAME35,AREA_DENSITY35
36.0,CITY_NAME36,STATE_NAME36,AREA_DENSITY36
37.0,CITY_NAME37,STATE_NAME37,AREA_DENSITY37
38.0,CITY_NAME38,STATE_NAME38,AREA_DENSITY38
39.0,CITY_NAME39,STATE_NAME39,AREA_DENSITY39
40.0,CITY_NAME40,STATE_NAME40,AREA_DENSITY40
41.0,CITY_NAME41,STATE_NAME41,AREA_DENSITY41
42.0,CITY_NAME42,STATE_NAME42,AREA_DENSITY42
43.0,CITY_NAME43,STATE_NAME43,AREA_DENSITY43
44.0,CITY_NAME44,STATE_NAME44,AREA_DENSITY44
45.0,CITY_NAME45,STATE_NAME45,AREA_DENSITY45
46.0,CITY_NAME46,STATE_NAME46,AREA_DENSITY46
47.0,CITY_NAME47,STATE_NAME47,AREA_DENSITY47
48.0,CITY_NAME48,STATE_NAME48,AREA_DENSITY48
49.0,CITY_NAME49,STATE_NAME49,AREA_DENSITY49
50.0,CITY_NAME50,STATE_NAME50,AREA_DENSITY50
51.0,CITY_NAME51,STATE_NAME51,AREA_DENSITY51
52.0,CITY_NAME52,STATE_NAME52,AREA_DENSITY52
53.0,CITY_NAME53,STATE_NAME53,AREA_DENSITY53
54.0,CITY_NAME54,STATE_NAME54,AREA_DENSITY54
55.0,CITY_NAME55,STATE_NAME55,AREA_DENSITY55
56.0,CITY_NAME56,STATE_NAME56,AREA_DENSITY56
57.0,CITY_NAME57,STATE_NAME57,AREA_DENSITY57
58.0,CITY_NAME58,STATE_NAME58,AREA_DENSITY58
59.0,CITY_NAME59,STATE_NAME59,AREA_DENSITY59
60.0,CITY_NAME60,STATE_NAME60,AREA_DENSITY60
61.0,CITY_NAME61,STATE_NAME61,AREA_DENSITY61
62.0,CITY_NAME62,STATE_NAME62,AREA_DENSITY62
63.0,CITY_NAME63,STATE_NAME63,AREA_DENSITY63
64.0,CITY_NAME64,STATE_NAME64,AREA_DENSITY64
65.0,CITY_NAME65,STATE_NAME65,AREA_DENSITY65
66.0,CITY_NAME66,STATE_NAME66,AREA_DENSITY66
67.0,CITY_NAME67,STATE_NAME67,AREA_DENSITY67
68.0,CITY_NAME68,STATE_NAME68,AREA_DENSITY68
69.0,CITY_NAME69,STATE_NAME69,AREA_DENSITY69
70.0,CITY_NAME70,STATE_NAME70,AREA_DENSITY70
71.0,CITY_NAME71,STATE_NAME71,AREA_DENSITY71
72.0,CITY_NAME72,STATE_NAME72,AREA_DENSITY72
73.0,CITY_NAME73,STATE_NAME73,AREA_DENSITY73
74.0,CITY_NAME74,STATE_NAME74,AREA_DENSITY74
75.0,CITY_NAME75,STATE_NAME75,AREA_DENSITY75
76.0,CITY_NAME76,STATE_NAME76,AREA_DENSITY76
77.0,CITY_NAME77,STATE_NAME77,AREA_DENSITY77
78.0,CITY_NAME78,STATE_NAME78,AREA_DENSITY78
79.0,CITY_NAME79,STATE_NAME79,AREA_DENSITY79
80.0,CITY_NAME80,STATE_NAME80,AREA_DENSITY80
81.0,CITY_NAME81,STATE_NAME81,AREA_DENSITY81
82.0,CITY_NAME82,STATE_NAME82,AREA_DENSITY82
83.0,CITY_NAME83,STATE_NAME83,AREA_DENSITY83
84.0,CITY_NAME84,STATE_NAME84,AREA_DENSITY84
85.0,CITY_NAME85,STATE_NAME85,AREA_DENSITY85
86.0,CITY_NAME86,STATE_NAME86,AREA_DENSITY86
87.0,CITY_NAME87,STATE_NAME87,AREA_DENSITY87
88.0,CITY_NAME88,STATE_NAME88,AREA_DENSITY88
89.0,CITY_NAME89,STATE_NAME89,AREA_DENSITY89
90.0,CITY_NAME90,STATE_NAME90,AREA_DENSITY90
91.0,CITY_NAME91,STATE_NAME91,AREA_DENSITY91
92.0,CITY_NAME92,STATE_NAME92,AREA_DENSITY92
93.0,CITY_NAME93,STATE_NAME93,AREA_DENSITY93
94.0,CITY_NAME94,STATE_NAME94,AREA_DENSITY94
95.0,CITY_NAME95,STATE_NAME95,AREA_DENSITY95
96.0,CITY_NAME96,STATE_NAME96,AREA_DENSITY96
97.0,CITY_NAME97,STATE_NAME97,AREA_DENSITY97
98.0,CITY_NAME98,STATE_NAME98,AREA_DENSITY98
99.0,CITY_NAME99,STATE_NAME99,AREA_DENSITY99
100.0,CITY_NAME100,STATE_NAME100,AREA_DENSITY100
101.0,CITY_NAME101,STATE_NAME101,AREA_DENSITY101
102.0,CITY_NAME102,STATE_NAME102,AREA_DENSITY102
,,,
