PAY_ID,RIDE_ID,PAY_DATE,PAY_AMOUNT,PAY_METHOD,PAY_STATUS
1.0,1.0,1/18/2015,19,Credit Card,Complete
2.0,2.0,5/17/2015,7.75,PayPal,Complete
3.0,3.0,PAY_DATE3,PAY_AMOUNT3,Apple Pay,Complete
4.0,4.0,PAY_DATE4,PAY_AMOUNT4,Venmo,Pending
5.0,5.0,PAY_DATE5,PAY_AMOUNT5,Venmo,Pending
6.0,6.0,PAY_DATE6,PAY_AMOUNT6,PayPal,Failed
7.0,7.0,PAY_DATE7,PAY_AMOUNT7,Paypal,Pending
8.0,8.0,PAY_DATE8,PAY_AMOUNT8,Apple Pay,Completed
9.0,9.0,PAY_DATE9,PAY_AMOUNT9,Credit Card,Completed
10.0,10.0,PAY_DATE10,PAY_AMOUNT10,Credit Card,Failed
11.0,11.0,PAY_DATE11,PAY_AMOUNT11,Credit Card,Completed
12.0,12.0,PAY_DATE12,PAY_AMOUNT12,PayPal,Complete
13.0,13.0,PAY_DATE13,PAY_AMOUNT13,Apple Pay,Complete
14.0,14.0,PAY_DATE14,PAY_AMOUNT14,Venmo,Complete
15.0,15.0,PAY_DATE15,PAY_AMOUNT15,Venmo,Pending
16.0,16.0,PAY_DATE16,PAY_AMOUNT16,PayPal,Pending
17.0,17.0,PAY_DATE17,PAY_AMOUNT17,Paypal,Failed
18.0,18.0,PAY_DATE18,PAY_AMOUNT18,Apple Pay,Pending
19.0,19.0,PAY_DATE19,PAY_AMOUNT19,Credit Card,Completed
20.0,20.0,PAY_DATE20,PAY_AMOUNT20,Credit Card,Completed
21.0,21.0,PAY_DATE21,PAY_AMOUNT21,Credit Card,Failed
22.0,22.0,PAY_DATE22,PAY_AMOUNT22,PayPal,Completed
23.0,23.0,PAY_DATE23,PAY_AMOUNT23,Apple Pay,Complete
24.0,24.0,PAY_DATE24,PAY_AMOUNT24,Venmo,Complete
25.0,25.0,PAY_DATE25,PAY_AMOUNT25,Venmo,Complete
26.0,26.0,PAY_DATE26,PAY_AMOUNT26,PayPal,Pending
27.0,27.0,PAY_DATE27,PAY_AMOUNT27,Paypal,Pending
28.0,28.0,PAY_DATE28,PAY_AMOUNT28,Apple Pay,Failed
29.0,29.0,PAY_DATE29,PAY_AMOUNT29,Credit Card,Pending
30.0,30.0,PAY_DATE30,PAY_AMOUNT30,Credit Card,Completed
31.0,31.0,PAY_DATE31,PAY_AMOUNT31,Credit Card,Completed
32.0,32.0,PAY_DATE32,PAY_AMOUNT32,PayPal,Failed
33.0,33.0,PAY_DATE33,PAY_AMOUNT33,Apple Pay,Completed
34.0,34.0,PAY_DATE34,PAY_AMOUNT34,Venmo,Complete
35.0,35.0,PAY_DATE35,PAY_AMOUNT35,Venmo,Complete
36.0,36.0,PAY_DATE36,PAY_AMOUNT36,PayPal,Complete
37.0,37.0,PAY_DATE37,PAY_AMOUNT37,Paypal,Pending
38.0,38.0,PAY_DATE38,PAY_AMOUNT38,Apple Pay,Pending
39.0,39.0,PAY_DATE39,PAY_AMOUNT39,Credit Card,Failed
40.0,40.0,PAY_DATE40,PAY_AMOUNT40,Credit Card,Pending
41.0,41.0,PAY_DATE41,PAY_AMOUNT41,Credit Card,Completed
42.0,42.0,PAY_DATE42,PAY_AMOUNT42,PayPal,Completed
43.0,43.0,PAY_DATE43,PAY_AMOUNT43,Apple Pay,Failed
44.0,44.0,PAY_DATE44,PAY_AMOUNT44,Venmo,Completed
45.0,45.0,PAY_DATE45,PAY_AMOUNT45,Venmo,Complete
46.0,46.0,PAY_DATE46,PAY_AMOUNT46,PayPal,Complete
47.0,47.0,PAY_DATE47,PAY_AMOUNT47,Paypal,Complete
48.0,48.0,PAY_DATE48,PAY_AMOUNT48,Apple Pay,Pending
49.0,49.0,PAY_DATE49,PAY_AMOUNT49,Credit Card,Pending
50.0,50.0,PAY_DATE50,PAY_AMOUNT50,Credit Card,Failed
51.0,51.0,PAY_DATE51,PAY_AMOUNT51,Credit Card,Pending
52.0,52.0,PAY_DATE52,PAY_AMOUNT52,PayPal,Completed
53.0,53.0,PAY_DATE53,PAY_AMOUNT53,Apple Pay,Completed
54.0,54.0,PAY_DATE54,PAY_AMOUNT54,Venmo,Failed
55.0,55.0,PAY_DATE55,PAY_AMOUNT55,Venmo,Completed
56.0,56.0,PAY_DATE56,PAY_AMOUNT56,PayPal,Complete
57.0,57.0,PAY_DATE57,PAY_AMOUNT57,Paypal,Complete
58.0,58.0,PAY_DATE58,PAY_AMOUNT58,Apple Pay,Complete
59.0,59.0,PAY_DATE59,PAY_AMOUNT59,Credit Card,Pending
60.0,60.0,PAY_DATE60,PAY_AMOUNT60,Credit Card,Pending
61.0,61.0,PAY_DATE61,PAY_AMOUNT61,Credit Card,Failed
62.0,62.0,PAY_DATE62,PAY_AMOUNT62,PayPal,Pending
63.0,63.0,PAY_DATE63,PAY_AMOUNT63,Apple Pay,Completed
64.0,64.0,PAY_DATE64,PAY_AMOUNT64,Venmo,Completed
65.0,65.0,PAY_DATE65,PAY_AMOUNT65,Venmo,Failed
66.0,66.0,PAY_DATE66,PAY_AMOUNT66,PayPal,Completed
67.0,67.0,PAY_DATE67,PAY_AMOUNT67,Paypal,Complete
68.0,68.0,PAY_DATE68,PAY_AMOUNT68,Apple Pay,Complete
69.0,69.0,PAY_DATE69,PAY_AMOUNT69,Credit Card,Complete
70.0,70.0,PAY_DATE70,PAY_AMOUNT70,Credit Card,Pending
71.0,71.0,PAY_DATE71,PAY_AMOUNT71,Credit Card,Pending
72.0,72.0,PAY_DATE72,PAY_AMOUNT72,PayPal,Failed
73.0,73.0,PAY_DATE73,PAY_AMOUNT73,Apple Pay,Pending
74.0,74.0,PAY_DATE74,PAY_AMOUNT74,Venmo,Completed
75.0,75.0,PAY_DATE75,PAY_AMOUNT75,Venmo,Completed
76.0,76.0,PAY_DATE76,PAY_AMOUNT76,PayPal,Failed
77.0,77.0,PAY_DATE77,PAY_AMOUNT77,Paypal,Completed
78.0,78.0,PAY_DATE78,PAY_AMOUNT78,Apple Pay,Complete
79.0,79.0,PAY_DATE79,PAY_AMOUNT79,Credit Card,Complete
80.0,80.0,PAY_DATE80,PAY_AMOUNT80,Credit Card,Complete
81.0,81.0,PAY_DATE81,PAY_AMOUNT81,Credit Card,Pending
82.0,82.0,PAY_DATE82,PAY_AMOUNT82,PayPal,Pending
83.0,83.0,PAY_DATE83,PAY_AMOUNT83,Apple Pay,Failed
84.0,84.0,PAY_DATE84,PAY_AMOUNT84,Venmo,Pending
85.0,85.0,PAY_DATE85,PAY_AMOUNT85,Venmo,Completed
86.0,86.0,PAY_DATE86,PAY_AMOUNT86,PayPal,Completed
87.0,87.0,PAY_DATE87,PAY_AMOUNT87,Paypal,Failed
88.0,88.0,PAY_DATE88,PAY_AMOUNT88,Apple Pay,Completed
89.0,89.0,PAY_DATE89,PAY_AMOUNT89,Credit Card,Complete
90.0,90.0,PAY_DATE90,PAY_AMOUNT90,Credit Card,Complete
91.0,91.0,PAY_DATE91,PAY_AMOUNT91,Credit Card,Complete
92.0,92.0,PAY_DATE92,PAY_AMOUNT92,PayPal,Pending
93.0,93.0,PAY_DATE93,PAY_AMOUNT93,Apple Pay,Pending
94.0,94.0,PAY_DATE94,PAY_AMOUNT94,Venmo,Failed
95.0,95.0,PAY_DATE95,PAY_AMOUNT95,Venmo,Pending
96.0,96.0,PAY_DATE96,PAY_AMOUNT96,PayPal,Completed
97.0,97.0,PAY_DATE97,PAY_AMOUNT97,Paypal,Completed
98.0,98.0,PAY_DATE98,PAY_AMOUNT98,Apple Pay,Failed
99.0,99.0,PAY_DATE99,PAY_AMOUNT99,Credit Card,Completed
100.0,100.0,PAY_DATE100,PAY_AMOUNT100,Credit Card,Completed
101.0,101.0,PAY_DATE101,PAY_AMOUNT101,Apple Pay,Pending
102.0,101.0,PAY_DATE102,PAY_AMOUNT102,Credit Card,Pending
,,,,,
